Field=#~Integer~#~50|Field=Assembly Info~String~Assembly Info~100|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=Quantity~Integer~Quantity~100|Field=Manufacturer Part Number~String~Manufacturer Part Number~100|Field=PartType~String~PartType~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Manufacturer~String~Manufacturer~100|Field=Part Description~String~Part Description~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~LimeSDR-XTRX_1v0.PrjPcb|ReportField=ProjectFullPath~E:\Saniok\Lime Micro\Lime PCBs\LimeSDR-XTRX_1v0\Altium Designer design files1\LimeSDR-XTRX_1v0.PrjPcb|ReportField=Title~Bill of Materials For Project [LimeSDR-XTRX_1v0.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~534|ReportField=ReportTime~15:46:56|ReportField=ReportDate~2022-12-23|ReportField=ReportDateTime~2022-12-23 15:46:56|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~Surrey Tech Centre|ReportField=Address2~Guildford GU2 7YG|ReportField=Address3~Surrey|ReportField=Address4~United Kingdom|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2022-12-23|ReportField=CurrentTime~15:45:57|ReportField=Date~|ReportField=DocumentFullPathAndName~E:\Saniok\Lime Micro\Lime PCBs\LimeSDR-XTRX_1v0\Altium Designer design files1\Schematics\01_Block_Diagram.SchDoc|ReportField=DocumentName~01_Block_Diagram.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2022-12-23|ReportField=Organization~Lime Microsystems|ReportField=ProjectName~LimeSDR-XTRX_1v0.PrjPcb|ReportField=Revision~v1.0|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~10|ReportField=Time~|ReportField=Title~Block diagram|ReportField=DataSourceFileName~LimeSDR-XTRX_1v0.PrjPcb|ReportField=DataSourceFullPath~E:\Saniok\Lime Micro\Lime PCBs\LimeSDR-XTRX_1v0\Altium Designer design files1\LimeSDR-XTRX_1v0.PrjPcb
1||1uF, 6.3V||C1, C35, C37, C38, C39, C40, C41, C42, C44, C46, C48, C49, C50, C51, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C67, C68, C69, C70, C71, C72, C74, C76, C78, C80, C82, C83, C84, C85, C86, C87, C88, C89, C90, C91, C92, C93, C94, C126, C174, C176, C183, C184, C185, C186, C222|CAP0201|58||1uF, 6.3V|JMK063ABJ105MP-F|Digi-Key|587-5864-2-ND|TDK Corporation|1µF ±20% 6.3V X5R Ceramic Capacitor -55°C ~ 85°C Surface Mount, MLCC 0201 (0603 Metric) 0.024" L x 0.012" W (0.60mm x 0.30mm)
2||22pF, 50V||C2, C161, C162, C163, C165|CAP0201|5||22pF, 50V|GRM0335C1H220JA01D|Digi-Key|490-6123-1-ND|Murata|22 pF ±5% 50V Ceramic Capacitor C0G, NP0 0201 (0603 Metric)
3|[NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], NF, NF, NF, NF|100pF, 50V||C3, C4, C5, C7, C11, C12, C13, C14, C166, C194, C204, C210, C219|CAP0201|13||100pF, 50V|CC0402JRNPO9BN101|Digi-Key|311-1024-1-ND|Yageo|100pF ±5% 50V C0G, NP0 Ceramic Capacitor -55°C ~ 125°C Surface Mount, MLCC 0402 (1005 Metric) 0.039" L x 0.020" W (1.00mm x 0.50mm)
4|[NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], NF, [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue]|100nF, 6.3V||C6, C8, C9, C10, C15, C16, C17, C18, C27, C28, C33, C34, C95, C96, C97, C99, C101, C103, C105, C108, C109, C111, C112, C158, C159, C160, C168, C170, C172, C173, C177, C178, C179, C180, C181, C187, C197, C214, C223|CAP0201|39||100nF, 6.3V|CL05A104KA5NNNC|Digi-Key|1276-1043-1-ND|Samsung|
5||1nF, 25V||C19, C20, C25, C26, C29, C30, C31, C32, C36, C43, C45, C47, C52, C66, C73, C75, C77, C79, C81, C106, C156, C157, C164, C169, C171|CAP0201|25||1nF, 25V|C0603X7R1E102K030BA|Digi-Key|445-7275-1-ND|TDK Corporation|1000pF ±10% 25V X7R Ceramic Capacitor -55°C ~ 125°C Surface Mount, MLCC 0201 (0603 Metric) 0.024" L x 0.012" W (0.60mm x 0.30mm)
6||510pF, 50V||C21, C22, C23, C24|CAP0402|4||510pF, 50V|GRM1555C1H511JA01D|Digi-Key|490-3237-1-ND|Murata Electronics North America|510pF ±5% 50V C0G, NP0 Ceramic Capacitor -55°C ~ 125°C Surface Mount, MLCC 0402 (1005 Metric) 0.039" L x 0.020" W (1.00mm x 0.50mm)
7||0R||C98, C100, C102, C104|CAP0201|4||0R|RC0201JR-070RL|Digi-Key|311-0.0NCT-ND|Yageo|0 Ohms Jumper Chip Resistor 0201 (0603 Metric) Moisture Resistant Thick Film
8||4.7uF, 6.3V||C107, C110, C113, C117, C118, C127, C128, C133, C134, C142, C143, C148, C149, C167, C175, C188, C189, C199, C200, C205, C206, C216, C217, C220|CAP0402|24||4.7uF, 6.3V|GRM155R60J475ME87D|Digi-Key|490-5408-1-ND|Murata Electronics North America|4.7µF ±20% 6.3V X5R Ceramic Capacitor -55°C ~ 85°C Surface Mount, MLCC 0402 (1005 Metric) 0.039" L x 0.020" W (1.00mm x 0.50mm)
9||470nF, 6.3V||C114, C115, C119, C120, C121, C122, C129, C130, C131, C132, C135, C136, C137, C138, C144, C145, C146, C147, C150, C151, C152, C153|CAP0201|22||470nF, 6.3V|GRM033R60J474KE90D|Digi-Key|490-10409-1-ND|Murata|0.47 µF ±10% 6.3V Ceramic Capacitor X5R 0201 (0603 Metric)
10||47uF, 6.3V||C116, C123, C124, C125, C139, C140, C141, C154, C155, C191, C195, C198, C201, C208, C212, C215, C218|CAP0603|17||47uF, 6.3V|GRM188R60J476ME15D|Digi-Key|490-13247-1-ND|Murata|47 µF ±20% 6.3V Ceramic Capacitor X5R 0603 (1608 Metric)
