Altium Designer Pick and Place Locations
E:\Saniok\Lime Micro\Lime PCBs\LimeSDR-XTRX\LimeSDR-XTRX_1v1\Altium Designer design files\Project Outputs for LimeSDR-XTRX_1v1\Pick Place\Pick Place for LimeSDR-XTRX_1v1.csv

========================================================================================================================
File Design Information:

Date:       14-04-23
Time:       16:18
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R126","0R","TopLayer","RES0201","4.4250","8.4000","270",""
"R125","0R","TopLayer","RES0201","3.7750","8.4000","90",""
"R112","0R","BottomLayer","RES0201","1.4000","1.5250","270",""
"R57","15R, 1%","TopLayer","RES0201","4.0500","22.5500","270",""
"MECH1","BMI-S-202-C","TopLayer","BMI-S-202-C_RF_SHIELD_COVER","-100.0000","-100.0000","0",""
"R76","0R","TopLayer","RES0201","0.4250","24.2500","180",""
"R86","0R","TopLayer","RES0201","0.4224","15.3468","180",""
"C36","1nF, 25V","TopLayer","CAP0201","23.7850","15.9581","90",""
"R1","0R","TopLayer","RES0201","25.6000","21.4750","180",""
"R74","0R","TopLayer","RES0201","0.4250","24.9000","180",""
"R60","0R","BottomLayer","RES0201","1.4509","17.3846","360",""
"R53","0R","TopLayer","RES0201","16.2240","16.0296","180",""
"R59","0R","TopLayer","RES0201","0.4250","17.0250","180",""
"R51","0R","TopLayer","RES0201","35.6750","29.1250","270",""
"R67","0R","TopLayer","RES0201","17.5000","14.3778","360",""
"R66","0R","TopLayer","RES0201","18.9500","14.4250","180",""
"R103","0R","BottomLayer","RES0201","3.1750","5.0750","180",""
"R106","0R","TopLayer","RES0201","18.1500","6.9000","90",""
"L1","47nH","TopLayer","RES0402","4.4000","24.1750","270",""
"R52","0R","TopLayer","RES0201","34.5250","29.1250","270",""
"C222","1uF, 6.3V","BottomLayer","CAP0201","31.7500","0.7000","360",""
"X7","U.FL/MMCX","TopLayer","MMCX_UFL_conn_u_v2","22.4500","27.3000","180","CONN UMC RCPT STR 50 OHM SMD"
"X6","U.FL/MMCX","TopLayer","MMCX_UFL_conn_u_v2","17.5750","27.3000","180","CONN UMC RCPT STR 50 OHM SMD"
"XO1","E6982LF","TopLayer","RAKON_E8231LF_E6982LF","3.3500","18.8000","90",""
"R79","0R","TopLayer","RES0201","9.6000","6.9500","0",""
"R102","330R, 1%","BottomLayer","RES0201","42.9500","6.6050","90",""
"R97","330R, 1%","BottomLayer","RES0201","43.7000","6.6000","90",""
"R69","1k, 1%","TopLayer","RES0201","1.2750","9.2250","90",""
"R124","100R, 1%","TopLayer","RES0201","3.1250","8.4000","90",""
"R101","0R","TopLayer","RES0201","0.4250","3.4497","180",""
"R111","10k, 1%","TopLayer","RES0201","18.8000","7.1846","270",""
"MN54","47nH","TopLayer","RES0402","33.7750","5.0750","360",""
"MN53","47nH","TopLayer","RES0402","37.2500","5.2750","180",""
"LED2","LED_green","TopLayer","LED0201","20.0250","1.4750","270",""
"IC32","LM4040","TopLayer","SOT23-3_v3","3.1750","10.7000","90",""
"C20","1nF, 25V","TopLayer","CAP0201","35.1750","5.3500","90",""
"C19","1nF, 25V","TopLayer","CAP0201","35.8500","5.3500","90",""
"C163","22pF, 50V","BottomLayer","CAP0201","14.1000","29.2250","180",""
"C165","22pF, 50V","BottomLayer","CAP0201","6.6750","1.1550","90",""
"C223","100nF, 6.3V","TopLayer","CAP0201","2.4250","8.4000","270",""
"C171","1nF, 25V","BottomLayer","CAP0201","5.1500","20.3500","180",""
"IC8","TMP1075NDRLR","BottomLayer","TMP1075NDRLR_TEMPERATURE_SENSOR_SOT563","39.3500","2.0500","270",""
"IC14","74LVC1G34QSE-7","BottomLayer","74AHCT1G126SE-7_BUFFER_SOT353","4.7750","22.4750","270",""
"C191","47uF, 6.3V","BottomLayer","CAP0603","22.6000","1.5500","90",""
"C172","100nF, 6.3V","BottomLayer","CAP0201","3.1750","21.2750","180",""
"C155","47uF, 6.3V","BottomLayer","CAP0603","6.6341","18.6599","45",""
"C154","47uF, 6.3V","BottomLayer","CAP0603","8.0750","22.3000","360",""
"C153","470nF, 6.3V","TopLayer","CAP0201","8.7250","16.1500","315",""
"C152","470nF, 6.3V","TopLayer","CAP0201","9.5250","15.7000","225",""
"C151","470nF, 6.3V","TopLayer","CAP0201","10.3500","16.5000","45",""
"C150","470nF, 6.3V","TopLayer","CAP0201","8.9000","18.0250","360",""
"C149","4.7uF, 6.3V","TopLayer","CAP0402","7.1750","17.8250","360",""
"C148","4.7uF, 6.3V","TopLayer","CAP0402","7.1750","16.8250","360",""
"C147","470nF, 6.3V","BottomLayer","CAP0201","12.2250","22.1250","315",""
"C146","470nF, 6.3V","TopLayer","CAP0201","11.7467","17.1750","360",""
"C145","470nF, 6.3V","TopLayer","CAP0201","11.7467","16.5250","360",""
"C144","470nF, 6.3V","TopLayer","CAP0201","12.4450","18.8500","180",""
"C143","4.7uF, 6.3V","BottomLayer","CAP0402","10.8500","22.4236","225",""
"C142","4.7uF, 6.3V","BottomLayer","CAP0402","8.0750","21.1969","360",""
"C141","47uF, 6.3V","BottomLayer","CAP0603","13.8000","7.2750","180",""
"C140","47uF, 6.3V","TopLayer","CAP0603","14.4000","13.2250","180",""
"C139","47uF, 6.3V","TopLayer","CAP0603","9.5750","9.0250","90",""
"C138","470nF, 6.3V","TopLayer","CAP0201","11.6950","13.1550","90",""
"C137","470nF, 6.3V","TopLayer","CAP0201","11.5000","11.8750","360",""
"C136","470nF, 6.3V","TopLayer","CAP0201","10.7500","10.1500","180",""
"C135","470nF, 6.3V","TopLayer","CAP0201","11.8500","8.2750","270",""
"C134","4.7uF, 6.3V","BottomLayer","CAP0402","13.8500","8.5000","180",""
"C133","4.7uF, 6.3V","TopLayer","CAP0402","11.9000","9.3500","180",""
"C132","470nF, 6.3V","TopLayer","CAP0201","13.7950","15.3750","180",""
"C131","470nF, 6.3V","TopLayer","CAP0201","14.9750","14.4000","270",""
"C130","470nF, 6.3V","TopLayer","CAP0201","13.8000","14.3750","45",""
"C129","470nF, 6.3V","TopLayer","CAP0201","11.9000","11.2250","180",""
"C128","4.7uF, 6.3V","TopLayer","CAP0402","12.5000","13.1000","90",""
"C127","4.7uF, 6.3V","TopLayer","CAP0402","13.5000","11.1250","180",""
"C125","47uF, 6.3V","BottomLayer","CAP0603","16.9000","7.9500","360",""
"C124","47uF, 6.3V","TopLayer","CAP0603","8.3250","10.5000","90",""
"C123","47uF, 6.3V","TopLayer","CAP0603","9.0500","13.7000","315",""
"C122","470nF, 6.3V","TopLayer","CAP0201","9.3250","11.8000","270",""
"C121","470nF, 6.3V","TopLayer","CAP0201","10.5000","14.5250","135",""
"C120","470nF, 6.3V","TopLayer","CAP0201","12.6500","16.2800","90",""
"C118","4.7uF, 6.3V","TopLayer","CAP0402","22.0250","4.1000","270",""
"C115","470nF, 6.3V","TopLayer","CAP0201","7.9000","12.4500","270",""
"C114","470nF, 6.3V","TopLayer","CAP0201","10.2750","11.1500","270",""
"C113","4.7uF, 6.3V","TopLayer","CAP0402","6.4750","11.7250","360",""
"C112","100nF, 6.3V","TopLayer","CAP0201","7.1063","14.8169","45",""
"C111","100nF, 6.3V","TopLayer","CAP0201","6.2750","13.6750","90",""
"C110","4.7uF, 6.3V","TopLayer","CAP0402","5.6500","15.4500","180",""
"C109","100nF, 6.3V","TopLayer","CAP0201","7.8250","15.6500","270",""
"C108","100nF, 6.3V","BottomLayer","CAP0201","4.4750","16.3750","180",""
"C107","4.7uF, 6.3V","BottomLayer","CAP0402","5.0750","17.3750","315",""
"F8","Fiducial","TopLayer","Fiducial","3.0000","35.7300","0",""
"F7","Fiducial","BottomLayer","Fiducial","52.8250","35.7300","180",""
"F6","Fiducial","BottomLayer","Fiducial","52.8250","-6.0300","180",""
"F5","Fiducial","BottomLayer","Fiducial","3.0050","-6.0250","180",""
"F4","Fiducial","BottomLayer","Fiducial","3.0000","35.7300","180",""
"F3","Fiducial","TopLayer","Fiducial","52.8250","35.7300","0",""
"F2","Fiducial","TopLayer","Fiducial","52.8250","-6.0300","0",""
"F1","Fiducial","TopLayer","Fiducial","3.0050","-6.0250","0",""
"R14","15R, 1%","TopLayer","RES0201","25.2705","16.3345","270",""
"R2","15R, 1%","BottomLayer","RES0201","20.9175","13.6970","360",""
"R61","47R, 1%","TopLayer","RES0201","26.0000","20.8250","180",""
"R34","10k, 1%","TopLayer","RES0201","5.1250","12.3500","90",""
"R92","15R, 1%","BottomLayer","RES0201","11.8157","6.7707","180",""
"R89","8.06k, 1%","BottomLayer","RES0201","8.7386","5.7579","225",""
"R77","10k, 1%","BottomLayer","RES0201","8.1500","8.9250","270",""
"R82","10k, 1%","TopLayer","RES0201","8.3300","7.6100","270",""
"R85","4.7k, 1%","BottomLayer","RES0201","24.8300","26.7800","180",""
"R84","4.7k, 1%","BottomLayer","RES0201","0.6500","27.8750","270",""
"R81","4.7k, 1%","BottomLayer","RES0201","24.6750","24.0500","90",""
"R83","15R, 1%","BottomLayer","RES0201","0.6500","26.6800","270",""
"R80","15R, 1%","BottomLayer","RES0201","23.9250","24.0500","90",""
"R75","15R, 1%","BottomLayer","RES0201","24.9750","25.2750","270",""
"R73","15R, 1%","BottomLayer","RES0201","6.7450","24.8450","180",""
"R116","0R","TopLayer","RES0201","17.2750","10.2750","360",""
"R113","0R","TopLayer","RES0201","19.3750","24.6500","0",""
"R58","100k, 1%","BottomLayer","RES0201","1.7050","19.1300","90",""
"R56","100k, 1%","BottomLayer","RES0201","20.3500","22.8500","270",""
"R62","1k, 1%","BottomLayer","RES0201","14.6500","23.9500","90",""
"R63","1k, 1%","BottomLayer","RES0201","20.3500","21.7500","270",""
"R71","3k, 1%","TopLayer","RES0201","17.5500","13.7000","180",""
"R72","12.7k, 1%","TopLayer","RES0201","17.6500","12.3000","180",""
"R65","10k, 1%","TopLayer","RES0201","17.6000","11.5000","0",""
"R68","10k, 1%","TopLayer","RES0201","18.7750","11.6500","0",""
"R64","100R, 1%","TopLayer","RES0201","18.5000","13.1250","270",""
"X9","Molex 0788641001","BottomLayer","MOLEX_0788641001_SPRING_CONTACTS","10.4500","26.9500","270","Header, 6-pin"
"IC15","NVT4555UKZ","BottomLayer","NVT4555UKZ_SIM_INTERFACE_WLCSP12","2.6500","23.4250","180",""
"IC11","74LVC1G34QSE-7","BottomLayer","74AHCT1G126SE-7_BUFFER_SOT353","3.1500","19.2500","90",""
"IC9","74LVC1G34QSE-7","BottomLayer","74AHCT1G126SE-7_BUFFER_SOT353","18.3500","22.6750","180",""
"FR38","220R, 0.9A","TopLayer","RES0402","2.2250","22.3000","360",""
"FR36","600R, 0.27A","BottomLayer","RES0201","12.9500","23.4750","360",""
"FR37","600R, 0.27A","BottomLayer","RES0201","8.8750","23.5250","360",""
"FR39","600R, 0.27A","BottomLayer","RES0201","14.1000","28.2250","270",""
"FR40","600R, 0.27A","TopLayer","RES0201","16.2950","13.1750","90",""
"ESD5","ESD8472","TopLayer","ESD8472_X3DFN2","3.2500","24.4500","270",""
"ESD6","ESD8472","TopLayer","ESD8472_X3DFN2","21.0000","25.5000","270",""
"C22","510pF, 50V","TopLayer","CAP0402","39.9000","5.2250","0",""
"C21","510pF, 50V","TopLayer","CAP0402","34.9250","23.9500","0",""
"C24","510pF, 50V","BottomLayer","CAP0402","39.7500","26.2000","90",""
"C23","510pF, 50V","BottomLayer","CAP0402","35.6771","4.2000","360",""
"C160","100nF, 6.3V","BottomLayer","CAP0201","40.1050","0.4000","360",""
"C175","4.7uF, 6.3V","BottomLayer","CAP0402","1.2250","23.7250","270",""
"C176","1uF, 6.3V","BottomLayer","CAP0201","1.2800","25.2500","180",""
"C181","100nF, 6.3V","BottomLayer","CAP0201","2.5300","24.8250","360",""
"C156","1nF, 25V","TopLayer","CAP0201","4.9250","22.8000","360",""
"C161","22pF, 50V","BottomLayer","CAP0201","12.9800","22.5550","360",""
"C162","22pF, 50V","BottomLayer","CAP0201","7.8200","23.4450","180",""
"C167","4.7uF, 6.3V","TopLayer","CAP0402","2.7500","23.4250","0",""
"C166","100pF, 50V","TopLayer","CAP0201","6.5500","18.9586","270",""
"C157","1nF, 25V","BottomLayer","CAP0201","21.2450","23.2800","270",""
"C158","100nF, 6.3V","TopLayer","CAP0201","0.4250","22.9500","180",""
"C178","100nF, 6.3V","TopLayer","CAP0201","18.7750","12.3000","360",""
"C168","100nF, 6.3V","BottomLayer","CAP0201","4.9750","19.4500","360",""
"C159","100nF, 6.3V","BottomLayer","CAP0201","13.8500","24.6550","90",""
"C173","100nF, 6.3V","BottomLayer","CAP0201","21.0950","21.7500","270",""
"C174","1uF, 6.3V","BottomLayer","CAP0201","16.2750","23.4354","180",""
"C164","1nF, 25V","BottomLayer","CAP0201","1.5250","15.1750","360",""
