Altium Designer Pick and Place Locations
C:\Git\Fairwaves\xtrx-hardware\XTRX\rev5\Altium_Proj\Project Outputs\Pick Place\Pick Place for XTRXr5(Var 3_3V_I).txt

========================================================================================================================
File Design Information:

Date:       29.04.19
Time:       21:30
Revision:   1fa29ee30f46513f9401cd992d1cc54bd914b894
Variant:    Var 3_3V_I
Units used: mm

Designator Description                   Comment                              Layer       Footprint                  Center-X(mm) Center-Y(mm) Rotation Height(mm) 
U30        "IC dual SPDT bi-dir switch"  FSA2257L10X                          BottomLayer MICROPAK-10(2.1X1.6P0.5)   5.3750       12.9500      180      0.5500     
L74        "Ferrite bead EMIFIL"         220                                  BottomLayer BEAD0402-Phillips          9.1250       16.7250      270      0.5000     
C220       Capacitor                     0.1uF                                BottomLayer C0402-cirq                 5.3750       10.8750      90       0.5000     
C219       Capacitor                     1uF                                  BottomLayer C0402-cirq                 22.9000      27.6500      90       0.5000     
C9         Capacitor                     0.1uF                                BottomLayer C0402-cirq                 21.3344      25.8214      360      0.5000     
X13        "Connector FFC/FPC"           502598-1593                          BottomLayer Molex_502598-1593          48.3805      20.3753      270      1.1500     
L73        "Ferrite bead EMIFIL"         220                                  BottomLayer BEAD0402-Phillips          30.6000      24.1000      360      0.5000     
U29        "IC ideal diode switch"       MAX40200ANS+                         BottomLayer BGA_WLP4_(0.7x0.7/0.35)    11.3169      18.6250      90       0.6600     
U28        "IC ideal diode switch"       MAX40200ANS+                         BottomLayer BGA_WLP4_(0.7x0.7/0.35)    10.9750      21.7000      270      0.6600     
R85        Resistor                      4k7                                  BottomLayer R0402-Phillips             22.4750      19.5500      270      0.5000     
R84        Resistor                      100                                  BottomLayer R0402-Phillips             45.1750      12.2750      180      0.5000     
R82        Resistor                      100                                  BottomLayer R0402-Phillips             45.1750      14.4500      180      0.5000     
R81        Resistor                      100                                  BottomLayer R0402-Phillips             45.1750      15.8500      360      0.5000     
X8         "Connector FFC/FPC"           502598-1593                          BottomLayer Molex_502598-1593          48.3925      13.5500      270      1.1500     
U4'        "IC NOR FLASH"                MT25QL256ABA8E14                     BottomLayer BGA_T-BGA24_(6X8/1.0)      33.2250      3.6500       90       1.0000     
R60        Resistor                      100k                                 BottomLayer R0402-Phillips             9.9750       20.0000      270      0.5000     
U4         "IC NOR FLASH"                MT25QL256ABA8E12                     BottomLayer BGA_T-BGA25_(6X8/1.0)      33.2250      3.6500       90       1.4000     
U20        "IC 4xDC/DC"                  LP8758A1E0YFFR                       BottomLayer BGA_WLCSP35                23.1750      4.2000       90       0.6200     
R74        Resistor                      1k2                                  BottomLayer R0402-Phillips             39.8500      0.8000       360      0.5000     
R73        Resistor                      680                                  BottomLayer R0402-Phillips             38.4000      1.3000       90       0.5000     
R72        Resistor                      1k6                                  BottomLayer R0402-Phillips             40.1250      6.8250       360      0.5000     
R71        Resistor                      1k2                                  BottomLayer R0402-Phillips             38.3000      6.3500       180      0.5000     
C71        Capacitor                     47uF                                 BottomLayer C0603_TALL                 27.5380      3.5500       360      1.0000     
C70        Capacitor                     47uF                                 BottomLayer C0603_TALL                 27.5380      4.8500       360      1.0000     
C53        Capacitor                     10uF                                 BottomLayer C0603-Phillips             20.9250      2.9000       270      0.8000     
C52        Capacitor                     10uF                                 BottomLayer C0603-Phillips             20.9250      5.5500       90       0.8000     
C61        Capacitor                     0.1uF                                BottomLayer C0402-CIRQ                 41.6500      0.8000       360      0.5000     
C45        Capacitor                     0.1uF                                BottomLayer C0402-CIRQ                 42.2000      6.8250       180      0.5000     
C59        Capacitor                     0.1uF                                BottomLayer C0402-CIRQ                 23.0000      2.6500       180      0.5000     
C58        Capacitor                     0.1uF                                BottomLayer C0402-CIRQ                 12.5250      2.0500       180      0.5000     
